SKU;ID Tiny;Estoque
8.05.61.08.07;811382366;0
8.05.61.09.117;811381711;0
8.05.61.11.10;811382658;0
8.05.62.01.07;811381585;0
8.06.01.02.11;811383613;0
8.06.01.08.11;811384262;0
8.06.01.09.01;811383108;0
8.06.01.16.07;811383218;0
8.06.02.04.06;811384516;0
8.06.03.11.07;811384572;0
8.06.03.12.10;811384666;0
8.06.03.15.10;811383959;0
8.06.03.16.07;811386727;0
8.06.04.04.18;811379960;0
8.06.04.05.57;811385050;0
8.06.04.08.10;811377657;0
8.06.04.11.16;811377366;0
8.06.103.02.16;811377038;0
8.06.103.07.10;811377750;0
8.06.23.07.01;811378494;0
8.06.23.09.07;811378665;0
8.06.23.10.01;811380037;0
8.06.23.11.11;811380117;0
8.06.23.13.11;809541659;0
8.07.01.02.01;809546521;0
8.07.01.31.27;811815582;2
8.07.01.33.01;811815115;2
8.07.02.05.01;909753314;0
8.07.03.12.58;811387208;0
8.07.03.16.01;811815408;1
8.07.03.19.10;809547383;0
8.07.03.20.47;811385649;0
8.07.04.25.47;811818288;0
8.07.04.51.10;811814678;2
8.07.103.03.01;811817465;0
8.07.103.04.01;811817574;0
8.07.23.01.18;809546866;0
8.07.23.02.11;809547052;0
8.07.32.41.00;811816039;0
8.07.54.13.01;811387478;0
8.07.74.05.07;811815441;0
8.07.84.01.01;811817829;0
8.07.84.02.10;811376695;0
8.08.53.02.10;811818761;0
8.08.74.02.01;811819376;0
8.09.01.02.10;811833157;1
8.09.01.07.10;909753066;0
8.09.01.100.83;811833609;0
8.09.01.103.27;812030679;0
8.09.01.59.01;811369606;1
8.09.01.89.01;811842740;0
8.09.01.96.35;812030523;0
8.09.01.97.01;812030568;0
8.09.02.112.01;811840509;0
8.09.02.12.10;909753052;0
8.09.02.74.01;828554385;0
8.09.03.100.01;812031433;0
8.09.03.109.18;811846197;0
8.09.03.114.10;811832461;0
8.09.03.115.01;811832480;1
8.09.03.124.01;909753491;0
8.09.03.78.07;811841078;0
8.09.03.79.01;811841134;0
8.09.03.92.10;811836927;0
8.09.04.101.01;811841615;0
8.09.04.102.10;811841445;0
8.09.04.113.10;812030383;0
8.09.04.117.01;811838937;0
8.09.04.118.10;811838860;0
8.09.04.121.10;811833495;3
8.09.04.122.57;811833398;0
8.09.04.124.92;811838557;0
8.09.04.129.01;909753410;0
8.09.04.67.10;812031078;0
8.09.04.68.07;812031021;0
8.09.04.71.68;817775023;0
8.09.103.05.10;811847144;0
8.09.23.44.01;812029649;0
8.09.23.55.10;811844810;0
8.09.23.61.01;811369699;0
8.09.23.63.10;811834775;0
8.09.23.68.10;811840906;1
8.09.23.78.10;909752892;0
8.09.35.04.00;812007236;0
8.09.39.01.57;811847253;0
8.09.39.02.01;811847265;0
8.09.47.18.01;812012513;0
8.09.68.01.01;811836696;0
8.09.68.02.10;811836647;0
8.09.74.05.01;811844975;0
8.09.74.10.10;811836782;0
8.09.74.11.01;811836804;0
8.09.76.06.01;811844099;0
8.09.76.24.11;811844244;0
8.09.76.25.10;811844011;0
8.09.76.37.11;811836515;0
8.09.76.43.01;811836276;0
8.09.76.45.10;811846383;0
8.09.84.02.01;811848114;0
8.10.01.02.11;811848334;0
8.11.01.03.01;811926565;0
8.11.23.03.11;811925613;0
8.11.23.04.18;811925609;0
8.11.23.05.18;811925641;0
8.11.23.06.17;811925617;0
8.11.23.07.01;811926606;0
8.11.33.02.18;909752933;0
8.11.33.05.18;909752982;0
8.11.33.06.17;909752994;0
8.11.92.03.00;811925972;0
8.11.92.06.00;811926202;0
8.11.92.07.00;811926220;0
8.11.92.08.00;811926240;0
8.11.92.17.00;811926160;0
8.11.92.18.00;811925819;0
8.11.92.20.00;811926233;0
8.12.01.07.06;811930546;0
8.12.47.06.10;812010593;0
8.12.74.05.06;811859017;0
8.13.33.01.00;809129601;0
8.13.33.03.00;812026666;0
8.13.33.04.00;812013219;3
8.13.33.05.00;812013130;0
8.13.33.06.00;812026690;2
8.13.33.07.00;812027261;2
8.13.33.10.69;812013063;0
8.13.33.11.69;812013309;3
8.13.33.12.69;812013096;0
8.13.47.21.11;812027025;0
8.13.57.01.69;812026704;0
8.13.98.05.69;812026756;0
8.13.98.08.69;812026813;0
8.24.23.04.02;811853500;0
8.24.23.05.18;811853527;0
8.24.23.14.02;811853887;0
8.24.23.16.18;811853964;0
8.24.23.17.08;811853977;0
8.24.23.20.07;811853841;0
8.24.23.24.02;811999863;0
8.24.23.27.08;812000474;0
8.24.23.28.110;811999677;0
8.24.23.29.16;811999464;0
8.24.23.36.18;812001513;0
8.24.23.37.08;812001736;0
8.24.23.39.16;812000733;0
8.24.23.44.114;811861313;0
8.24.23.45.62;811861296;0
8.24.23.70.11;909752847;0
8.24.24.10.00;811857452;0
8.24.47.14.18;811852630;0
8.24.47.20.07;811852541;0
8.24.47.21.10;811852548;0
8.24.47.28.18;811852718;0
8.24.53.28.00;811367427;0
8.24.70.29.07;811851871;0
8.24.70.47.07;811996853;0
8.24.72.103.00;811859705;0
8.24.92.20.00;811858319;0
8.24.92.36.00;811910772;0
8.24.92.38.00;811910831;0
8.24.92.53.00;811995670;0
8.24.92.57.00;811996136;0
8.24.92.66.00;811857882;0
8.24.92.67.00;811857887;0
8.24.92.68.00;811857893;0
8.24.92.77.00;811363001;0
8.24.92.79.00;811912486;0
8.25.01.02.01;812010015;0
8.25.01.04.01;811857178;0
8.25.01.14.07;811924812;0
8.25.01.25.06;812008821;0
8.25.01.31.07;809540135;0
8.25.01.32.01;812028723;0
8.25.01.33.18;812028748;0
8.25.01.36.03;809546022;0
8.25.02.05.01;909753124;0
8.25.02.07.01;909753168;0
8.25.02.35.06;811916111;0
8.25.02.37.06;809548161;4
8.25.101.04.18;811859374;0
8.25.105.02.01;811931928;0
8.25.135.01.00;809540794;3
8.25.142.07.69;811368291;0
8.25.142.08.69;811368058;0
8.25.142.12.69;811367657;0
8.25.142.13.18;811367786;0
8.25.142.17.16;811367922;0
8.25.142.19.18;811367822;0
8.25.47.126.18;811924465;0
8.25.47.23.10;811909943;0
8.25.47.24.18;811910128;0
8.25.47.34.113;811857213;0
8.25.47.47.71;811832102;0
8.25.47.69.10;811911472;0
8.25.53.19.00;811850350;0
8.25.53.87.11;811856446;0
8.25.57.100.00;811375964;0
8.25.57.102.00;811376199;0
8.25.57.103.00;811376250;0
8.25.57.105.00;811832173;0
8.25.57.112.18;811930043;0
8.25.57.114.07;811930351;0
8.25.57.115.18;811930370;0
8.25.57.116.00;811930752;0
8.25.57.119.00;811930878;0
8.25.57.122.00;811369873;0
8.25.57.129.10;811931988;0
8.25.57.132.07;812010528;0
8.25.57.135.06;812031495;0
8.25.57.137.69;811376296;0
8.25.57.146.05;811912267;0
8.25.57.163.18;809542137;0
8.25.57.17.00;811916146;0
8.25.57.186.11;812028531;0
8.25.57.187.18;812028417;0
8.25.57.188.07;812028480;0
8.25.57.189.69;811851232;0
8.25.57.190.69;811851253;0
8.25.57.52.06;811914882;0
8.25.57.90.10;809541715;0
8.25.57.98.00;809548637;0
8.25.57.99.00;811375859;0
8.25.70.09.00;811915058;0
8.25.70.22.10;809545541;0
8.25.70.25.00;811855117;0
8.25.70.27.00;811857220;0
8.25.74.08.06;812031674;0
8.25.75.02.00;811362637;0
8.25.75.39.18;812011234;0
8.25.75.46.01;811832165;0
8.25.75.50.01;809543586;0
8.25.75.81.10;812028306;0
8.25.86.09.18;811856538;0
8.25.92.01.10;811916019;0
8.25.92.07.18;811931854;0
8.25.92.12.10;811939531;0
8.25.92.13.10;812032076;0
8.25.94.11.00;811930432;0
8.25.99.02.00;809540376;0
8.26.138.09.18;811918856;0
8.26.138.22.07;811918387;0
8.26.138.24.07;811918372;0
8.26.138.26.07;811918314;0
8.26.138.27.07;811918320;0
8.26.138.29.12;811918772;0
8.26.138.35.12;811918485;0
8.26.138.36.10;811918442;0
8.26.138.38.10;811918427;0
8.26.138.39.10;811918435;0
8.26.138.42.10;811918410;0
8.26.138.44.57;811916626;0
8.26.138.48.57;811916536;0
8.26.138.53.06;811916275;0
8.26.138.54.06;811916258;0
8.26.138.55.06;811916267;0
8.26.138.71.16;811916342;0
8.26.138.79.11;811917763;0
8.26.138.81.11;811917474;0
8.27.01.08.07;812032386;0
8.27.01.09.18;812032408;0
8.27.03.01.07;812032560;0
8.27.03.02.10;812032581;0
8.27.03.07.07;812032676;0
8.27.03.08.18;812032694;0
8.27.03.09.10;812032681;0
8.27.04.03.07;812032512;0
8.27.04.04.10;812032534;0
8.27.04.05.18;812032551;0
8.27.04.07.11;812032326;0
8.30.121.02.00;811929948;0
8.30.148.04.00;811930725;0
8.30.148.06.00;811930866;0
8.30.148.09.00;811371813;0
8.30.148.10.00;811372180;0
8.30.148.16.00;811372464;0
8.30.148.18.00;811372537;0
8.30.148.19.00;811372506;0
8.30.148.22.00;811371957;0
8.30.148.23.00;811372101;0
8.30.23.03.18;909753153;0
8.30.23.04.11;909753158;0
8.30.33.02.69;811925270;0
8.30.33.03.69;811925444;0
8.30.33.05.00;811925427;0
8.30.33.06.00;811925404;0
8.30.33.07.00;811925306;0
8.30.33.08.00;811925357;0
8.30.33.09.00;811925173;0
8.30.33.14.00;811925121;0
8.30.33.16.00;811373277;0
8.30.33.21.00;811375423;0
8.30.33.37.00;811375483;0
8.30.33.38.00;811375596;0
8.30.33.48.06;811925247;0
8.30.33.48.69;811373609;0
8.30.33.51.00;812028615;0
8.30.33.52.00;812031758;0
8.30.33.56.06;909753501;0
8.30.57.05.18;811366943;0
8.30.57.23.69;809547980;0
8.30.57.26.69;811366818;0
8.30.57.28.69;811928273;0
8.30.57.29.69;811928343;0
8.30.57.32.69;811928510;0
8.30.57.33.69;811855487;0
8.30.57.34.69;811856278;0
8.30.57.36.69;811936234;0
8.30.57.37.69;812032730;0
8.30.57.43.69;811914796;0
8.30.57.46.10;811924650;0
8.30.57.48.10;811856377;0
8.30.57.53.11;811367052;0
8.30.74.02.10;812031873;0
8.30.74.03.10;812031844;0
8.30.92.14.00;811925233;0
8.30.92.15.00;811937858;0
8.30.92.16.00;811937987;0
8.30.94.12.00;811930806;0
8.50.128.02.00;811938027;0
8.61.130.15.07;811857774;0
8.61.130.18.00;811857795;0
8.61.130.20.18;811857810;0
8.61.130.21.11;811857817;0
8.61.130.28.11;811913689;0
8.61.130.50.07;811914097;0
8.61.130.56.11;811914268;0
8.61.130.57.07;811914281;0
8.61.130.60.00;811914385;0
8.61.130.63.11;811914457;0
8.67.33.01.07;809544438;0
8.67.33.02.00;809544982;0
8.67.33.03.00;812031826;0
8.01.01.11.27;809551157;0
8.01.03.01.07;809551361;0
8.01.03.02.18;809551385;0
8.01.03.04.01;811356972;0
8.01.04.02.07;809552394;0
8.01.103.01.10;809550291;0
8.01.28.08.06;812012464;0
8.01.28.10.06;809550982;0
8.01.28.15.06;809550596;1
8.01.28.18.10;811356125;0
8.01.28.21.00;811356312;0
8.01.28.22.07;811355649;0
8.01.28.23.18;811355887;0
8.01.28.25.00;809550664;0
8.01.28.26.00;809550684;0
8.01.28.27.00;809550800;0
8.01.28.28.00;809550870;0
8.01.28.30.18;809550457;0
8.01.39.01.06;809550530;0
8.01.39.02.06;809550556;0
8.01.39.03.05;809550582;0
8.01.39.04.06;809547566;0
8.01.39.07.00;811356399;0
8.01.47.01.07;809552192;0
8.01.47.02.18;809551878;0
8.01.47.07.07;809552217;0
8.01.53.01.27;817775163;0
8.01.54.01.07;809550539;0
8.01.70.12.18;809552449;0
8.01.70.16.07;809552589;0
8.01.71.03.10;809551403;0
8.01.71.04.18;812010523;0
8.01.71.05.07;812010512;0
8.01.74.02.57;809552318;0
8.01.74.03.10;809552338;0
8.01.74.07.11;809551413;0
8.01.74.08.10;809550498;0
8.01.74.12.07;811356764;0
8.01.93.01.06;809551819;0
8.01.93.04.07;809551846;0
8.02.01.05.00;811358306;0
8.02.02.02.30;811357362;0
8.02.02.03.01;811357524;0
8.02.18.03.00;811938270;0
8.02.18.04.00;811855417;0
8.02.68.01.01;811357423;0
8.03.01.01.27;809541971;0
8.03.01.02.82;809541821;0
8.03.01.04.01;809543899;0
8.03.01.05.18;809543821;0
8.03.02.12.91;817773864;0
8.03.02.13.27;811359777;0
8.03.02.15.107;817774570;0
8.03.02.17.80;817774179;0
8.03.02.18.01;817774121;0
8.03.02.21.01;811359550;0
8.03.02.22.80;811359641;0
8.03.02.24.01;811361471;0
8.03.02.25.01;811360108;0
8.03.02.26.10;811361556;0
8.03.02.27.10;811359848;0
8.03.02.28.01;811362333;0
8.03.02.29.10;811362264;0
8.03.02.32.10;909753024;0
8.03.03.16.01;811358813;0
8.03.03.17.01;811357817;0
8.03.03.21.07;811358673;0
8.03.04.02.01;811357630;0
8.03.04.43.01;811358162;0
8.03.04.47.07;811361597;0
8.03.04.48.07;811361611;0
8.03.04.49.10;811361622;0
8.03.04.51.18;811361686;0
8.03.04.52.08;811361731;0
8.03.04.63.18;811362244;0
8.03.04.65.10;811360627;0
8.03.04.66.18;811360702;0
8.03.04.67.01;811362178;0
8.03.23.03.57;809541522;0
8.03.23.06.01;811358036;0
8.03.23.07.10;811361237;0
8.03.26.01.10;811360403;0
8.03.28.11.01;811359957;0
8.03.28.20.01;809129030;0
8.03.28.23.01;811359973;0
8.03.28.25.01;811360085;0
8.03.28.26.18;811360098;0
8.03.28.29.01;811360550;0
8.03.28.31.18;811360586;0
8.03.39.01.01;811358364;0
8.03.39.03.01;809129054;0
8.03.39.04.10;811361793;0
8.03.39.05.10;811361753;0
8.03.47.01.10;809542905;0
8.03.47.02.10;809543979;0
8.03.54.01.01;811360317;0
8.03.68.02.10;811361095;0
8.03.68.03.06;811358635;0
8.03.70.01.06;811924973;0
8.03.71.01.07;809542199;0
8.03.71.04.00;809542446;0
